name,code
國泰新興高收益債券基金(美元)-不配息I,26331835G
富邦中國債券傘型之富邦中國高收益債券基金-B類型(人民幣),31946426B
元大寶來2001基金,00974066
兆豐國際中國A股基金(美金),38592074B
華南永昌人民幣高收益債券基金(月配新台幣),31972492B
野村新興傘型基金之中東非洲基金,10306986
群益環球金綻雙喜A(累積型-澳幣),38648529E
復華高成長基金,73998086
富邦中國新平衡入息基金-B類型(新台幣),38653992B
第一金創新趨勢基金,26202396
富邦中國ETF傘型基金之富邦上証180單日正向兩倍基金,38633011
群益工業國入息基金B(月配型-美元),38531773D
富邦中國債券傘型之富邦中國高收益債券基金-A類型(美元),31946426C
宏利全球入息動態組合基金-A類型(新臺幣),38530129A
富蘭克林華美貨幣市場基金,31897044
富邦大中華成長基金,48908684
新光新興星鑽基金,25619389
瀚亞全球綠色金脈基金,10310200
聯博收益成長傘型之聯博亞太收益成長平衡基金-AD類型,38633217B
富達台灣成長基金,13984165
兆豐國際新興市場高收益債券基金A(累積型),31923107A
宏利精選中華基金(新臺幣),48916256A
柏瑞中國平衡基金-B類型(人民幣),38651312F
國泰新興高收益債券基金(美元)-不配息A,26331835C
施羅德新紀元貨幣市場基金,14553777
中國信託華盈貨幣市場基金,80907786
合庫全球高收益債券基金B類型(美元),31890485D
元大寶來新中國基金,25520400
摩根全球平衡基金,99181637
宏利中國點心高收益債券基金-B類型(人民幣),26325600D
惠理康和中國點心高收益債券美金B基金,31835391D
野村多元資產動態平衡基金-累積類型人民幣計價,38653661E
富蘭克林華美全球成長基金-美元,38639351B
摩根大歐洲基金,73980092
凱基新興亞洲債券基金-配息型,31977320B
聯博收益傘型基金之聯博多元資產收益組合基金-A2類型(美金),38522113F
瀚亞新興亞洲當地貨幣債券基金B類型,31835499B
永豐趨勢平衡基金,14706582
群益東方盛世基金,25602535
第一金亞洲科技基金,17612378
群益奧斯卡基金,48675778
富蘭克林華美新興趨勢傘型基金之積極回報債券組合基金-累計型,25687674A
國泰收益傘型基金之全球多重收益平衡基金-美元B(配息型),38582842D
中國信託全球股票入息基金-配息型,38654726B
富邦中國新平衡入息基金-B類型(人民幣),38653992D
永豐中國經濟建設基金,31812778
野村全球氣候變遷基金,48968900
華南永昌人民幣高收益債券基金(月配人民幣),31972492D
德銀遠東DWS亞洲高收益債券基金人民幣級別-累積型,26300262E
元大寶來全球地產建設入息基金-不配息型,48885346A
野村日本基金,97982106
摩根全球α基金,29245757
兆豐國際寶鑽貨幣市場基金,18044796
復華人民幣貨幣市場基金,31939240
貝萊德亞美利加收益基金,38490323
國泰紐幣2021保本基金,38582836
匯豐全球關鍵資源基金,48925001
元大寶來新興市場ESG策略基金,26326707
元大寶來台灣中型100基金,48772770
瀚亞精選傘型基金之趨勢精選組合基金,48801016
元大寶來中國機會債券基金-人民幣(B)配息,38546950C
復華中國新經濟A股基金-人民幣,42303511B
國泰全球永利貨幣市場基金,17142502
摩根亞太高息平衡基金-累積型,21704027A
台新中國精選中小基金,25691213
保德信中國中小基金,38551094
野村多元資產動態平衡基金-累積類型澳幣計價,38653661G
元大寶來經貿基金,83863951
德盛安聯四季雙收入息組合基金-A類型(累積)-新臺幣,38481149A
德盛安聯四季雙收入息組合基金-B類型(月配息)-新臺幣,38481149B
聯邦新興資源豐富國家高收益債券基金A,31998423A
聯邦新興資源豐富國家高收益債券基金B,31998423B
群益多重收益組合基金,48720160
永豐中國高收益債券基金-新臺幣累積類型,31842338A
施羅德中國高收益債券基金-累積型,31825598A
元大寶來台灣50單日反向1倍基金,38619910
瀚亞全球高收益債券基金A-美元,26257384D
復華新興人民幣短期收益基金,38524294
富邦科技基金,83864683
宏利中國點心高收益債券基金-B類型(美元),26325600B
元大寶來大中華TMT基金-新台幣,38639090A
聯博收益傘型基金之聯博債券收益組合基金-AA類型(人民幣),38522107C
摩根亞洲基金,92023780
瀚亞新興豐收基金B-美元,42266017D
中國信託全球股票入息基金-累積型,38654726A
群益華夏盛世基金-新臺幣,25629892A
德盛安聯亞洲小型企業基金,26282932
台新亞澳高收益債券基金(累計型),31829551A
永豐人民幣貨幣市場基金-人民幣類型,42267711B
群益中國金采平衡基金B(月配型－人民幣),42301416F
元大寶來全球國富債券基金(B)-配息型,26297576B
施羅德全球策略高收益債券基金-分配,26265912B
瀚亞亞太豐收平衡基金A-新台幣,38621330A
德盛安聯中國東協新世紀基金,25680150
匯豐中國點心高收益債券基金(美元配息),26396604F
野村亞太複合高收益債基金-月配類型人民幣計價,26310557D
瀚亞歐洲基金,17611814
未來資產新興市場債券基金B,31939614B
宏利中國離岸債券基金-B類型(人民幣),26389097D
施羅德中國高收益債券基金(人民幣)-累積型,31825598E
施羅德中國債券基金(人民幣)-分配型,31999979D
宏利新興市場高收益債券基金-C類型(人民幣避險),26258187E
德盛安聯中國策略增長基金,25589337
復華亞太平衡基金,48733658
復華新興市場高收益債券基金-南非幣配息,26305816C
元大寶來中國機會債券基金-新台幣,38546950A
元大寶來績效基金,92004566
中國信託台灣活力基金,48893417
景順貨幣市場基金,92025942
摩根東方內需機會基金,10313109
元大寶來卓越基金,92026219
富蘭克林華美新興趨勢傘型基金之新興市場股票組合基金,25687689
德盛安聯全球新興市場基金,99978472
宏利新興市場高收益債券基金-B類型(新臺幣),26258187B
野村亞太高股息基金累積型,48745964A
德盛安聯全球債券基金-A類型(累積),98669250A
宏利新興市場高收益債券基金-A類型(澳幣避險),26258187F
瀚亞新興豐收基金A-南非幣,42266017G
合庫台灣基金,26320632
宏利亞太入息債券基金-A類型(人民幣避險),25630146D
群益中國金采平衡基金A(累積型－人民幣),42301416E
日盛精選五虎基金,17147078
國泰富時中國A50基金,42260528
第一金全球高收益債券基金A-美元,25593418C
元大寶來標智滬深300基金,25610486
群益全球關鍵生技基金-新臺幣,38486708A
宏利中國點心高收益債券基金-A類型(人民幣),26325600C
聯博全球高收益債券基金-TA類型(美金),38654486C
匯豐金磚動力基金,48686374
瀚亞全球高收益債券基金A-人民幣,26257384H
台新大中華基金,10313190
國泰中港台基金美元級別,25621998B
柏瑞新興亞太策略債券基金-B類型(人民幣),38495354C
野村高科技基金,17600534
聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(美金),38522113E
國泰亞洲成長基金美元級別,38600412B
野村環球高收益債基金-累積類型新臺幣計價,38480612A
瀚亞新興南非蘭特債券基金A類型,31999540A
國泰全球資源基金,26273455
群益台股指數基金,31836758
摩根多元入息成長基金月配息型,38612682B
元大寶來全球滿意入息基金-不配息型,48849362A
柏瑞全球策略高收益債券基金-B類型(南非幣),10340936D
富蘭克林華美全球投資級債券基金-累積型,31920832A
德信萬瑞基金,99636428
永豐新興市場企業債券基金-新臺幣月配類型,31909604B
統一大中華中小基金,26202889
施羅德全球策略高收益債券基金(人民幣)-配息型,26265912C
德盛安聯全球計量平衡基金,48738909
匯豐中國點心高收益債券基金(美元不配息),26396604E
德銀遠東DWS全球神農基金,26263787
凱基資源國基金,26258172
德信中國精選成長基金,25689835
元大寶來台灣電子科技基金,48903196
瀚亞亞太豐收平衡基金A-人民幣,38621330I
元大寶來全球新興市場精選組合基金,48760113
台新亞澳高收益債券基金(月配息型),31829551B
永豐中國高收益債券基金-人民幣月配類型,31842338C
日盛新台商基金,94991068
兆豐國際國民基金,01050148
野村全球不動產證券化基金月配型新臺幣計價,21758780B
德銀遠東DWS亞洲高收益債券基金美元級別-分配型,26300262D
聯博新興市場企業債券基金-AT類型,31936709B
野村環球高收益債基金-月配類型人民幣計價,38480612F
富邦全球不動產基金,99991502
華南永昌龍盈平衡基金,18477625
宏利亞太入息債券基金-B類型(新臺幣),25630146B
兆豐國際新興市場高收益債券基金B(月配型),31923107B
聯邦環太平洋平衡基金A,38546327A
聯邦環太平洋平衡基金B,38546327B
摩根中國亮點基金,25627402
野村歐洲中小成長基金-美元計價,38620711B
華南永昌多重資產入息平衡基金(累積美元),38618790C
日盛日盛基金,20084317
德銀遠東DWS台灣旗艦基金,18499732
永豐臺灣加權ETF基金,26332314
摩根總收益組合基金-累積型,26279269A
未來資產阿波羅基金,17597600
國泰收益傘型基金之全球多重收益平衡基金-美元I(不配息型),38582842E
國泰中國傘型基金之中國新興債券基金台幣級別,38482914A
