
類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AI2	A0005	元大寶來投信	T0587Y	26203846	元大寶來印尼指數基金	TWD	9.505	9.544	-0.039
AI2	A0005	元大寶來投信	T0585Y	26203851	元大寶來巴西指數基金	TWD	5.324	5.548	-0.224
AA2	A0005	元大寶來投信	T0560Y	26206323	元大寶來華夏中小基金	TWD	7.55	7.65	-0.1
AH1	A0005	元大寶來投信	006201	26282102	元大寶來富櫃50基金	TWD	12.39	12.39	0
AE22	A0005	元大寶來投信	T0561A	26283518A	元大寶來新興市場債券組合基金-不配息型	TWD	10.8798	10.8712	0.0086
AE22	A0005	元大寶來投信	T0561B	26283518B	元大寶來新興市場債券組合基金-配息型	TWD	9.4526	9.4452	0.0074
AC21	A0005	元大寶來投信	T0588A	26297576A	元大寶來全球國富債券基金(A)-不配息型	TWD	8.7143	8.7258	-0.0115
AC21	A0005	元大寶來投信	T0588B	26297576B	元大寶來全球國富債券基金(B)-配息型	TWD	6.8543	6.8634	-0.0091
AH1	A0005	元大寶來投信	006203	26306553	元大寶來摩臺基金	TWD	32.52	32.83	-0.31
AI1	A0005	元大寶來投信	T0564Y	26307568	元大寶來台股指數基金	TWD	10.953	11.022	-0.069
AA2	A0005	元大寶來投信	T0589Y	26326707	元大寶來新興市場ESG策略基金	TWD	11.92	12.02	-0.1
AC23	A0005	元大寶來投信	T0566Y	26394367	元大寶來中國高收益點心債券基金	TWD	10.8995	10.9231	-0.0236
AB2	A0005	元大寶來投信	T0591Y	31830473A	元大寶來中國平衡基金-新台幣	TWD	11.55	11.67	-0.12
AB2	A0005	元大寶來投信	T0591A	31830473B	元大寶來中國平衡基金-人民幣	CNY	2.3	2.32	-0.02
AH2	A0005	元大寶來投信	006206	31830488	元大寶來上證50基金	TWD	28.98	29.35	-0.37
AI2	A0005	元大寶來投信	T0593A	31931789A	元大寶來亞太政府公債指數基金(A)-不配息型	TWD	9.3197	9.3219	-0.0022
AI2	A0005	元大寶來投信	T0593B	31931789B	元大寶來亞太政府公債指數基金(B)-配息型	TWD	8.6955	8.6976	-0.0021
AC21	A0005	元大寶來投信	T0594A	38546950A	元大寶來中國機會債券基金-新台幣	TWD	10.5263	10.5371	-0.0108
AC21	A0005	元大寶來投信	T0594B	38546950B	元大寶來中國機會債券基金-人民幣(A)不配息	CNY	10.0932	10.0815	0.0117
AC21	A0005	元大寶來投信	T0594C	38546950C	元大寶來中國機會債券基金-人民幣(B)配息	CNY	10.007	9.9954	0.0116
AD2	A0005	元大寶來投信	T0595A	38546966A	元大寶來人民幣貨幣市場基金-新台幣	TWD	10.5798	10.6022	-0.0224
AD2	A0005	元大寶來投信	T0595B	38546966B	元大寶來人民幣貨幣市場基金-人民幣	CNY	10.1591	10.1582	0.0009
AH1	A0005	元大寶來投信		38619904	元大寶來台灣50單日正向2倍基金	TWD	22.03	22.25	-0.22
AH1	A0005	元大寶來投信		38619910	元大寶來台灣50單日反向1倍基金	TWD	18.81	18.75	0.06
AA2	A0005	元大寶來投信	T0596A	38639090A	元大寶來大中華TMT基金-新台幣	TWD	9.98	10.01	-0.03
AA2	A0005	元大寶來投信	T0596B	38639090B	元大寶來大中華TMT基金-人民幣	CNY	9.99	10	-0.01
AA2	A0005	元大寶來投信	T0537Y	48708243	元大寶來亞太成長基金	TWD	10.77	10.83	-0.06
AA2	A0005	元大寶來投信	T0538Y	48753324	元大寶來泛歐成長基金	TWD	9.1	9.16	-0.06
AE21	A0005	元大寶來投信	T0577Y	48760113	元大寶來全球新興市場精選組合基金	TWD	12.95	13.08	-0.13
AH1	A0005	元大寶來投信	0051	48772770	元大寶來台灣中型100基金	TWD	30.07	30.28	-0.21
AE21	A0005	元大寶來投信	T0578Y	48789815	元大寶來全球ETF成長組合基金	TWD	10.24	10.31	-0.07
AC22	A0005	元大寶來投信	T0539A	48849362A	元大寶來全球滿意入息基金-不配息型	TWD	11.27	11.26	0.01
AC22	A0005	元大寶來投信	T0539B	48849362B	元大寶來全球滿意入息基金-配息型	TWD	8.35	8.35	0
AG	A0005	元大寶來投信	T0542A	48885346A	元大寶來全球地產建設入息基金-不配息型	TWD	8.67	8.75	-0.08
AG	A0005	元大寶來投信	T0542B	48885346B	元大寶來全球地產建設入息基金-配息型	TWD	7.2	7.27	-0.07
AH1	A0005	元大寶來投信	0055	48903175	元大寶來台灣金融基金	TWD	14.47	14.53	-0.06
AH1	A0005	元大寶來投信	0054	48903180	元大寶來台商收成基金	TWD	23.12	23.25	-0.13
AH1	A0005	元大寶來投信	0053	48903196	元大寶來台灣電子科技基金	TWD	29.62	29.9	-0.28
AA2	A0005	元大寶來投信	T0546A	48952816A	元大寶來全球公用能源效率基金-不配息型	TWD	8.36	8.48	-0.12
AA2	A0005	元大寶來投信	T0546B	48952816B	元大寶來全球公用能源效率基金-配息型	TWD	6.71	6.81	-0.1
AH1	A0005	元大寶來投信	0056	48966213	元大寶來台灣高股息基金	TWD	24.64	24.81	-0.17
AA1	A0005	元大寶來投信	T0510Y	77537509	元大寶來多元基金	TWD	10.98	11.01	-0.03
AA1	A0005	元大寶來投信	T0508Y	81584335	元大寶來高科技基金	TWD	12.34	12.4	-0.06
AA1	A0005	元大寶來投信	T0509Y	83863951	元大寶來經貿基金	TWD	28.48	28.53	-0.05
AA1	A0005	元大寶來投信	T0503Y	92001765	元大寶來多多基金	TWD	15.69	15.75	-0.06
AA1	A0005	元大寶來投信	T0568Y	92004566	元大寶來績效基金	TWD	35.63	35.81	-0.18
AD1	A0005	元大寶來投信	T0569Y	92017204	元大寶來得利貨幣市場基金	TWD	16.0249	16.0246	0.0003
AA1	A0005	元大寶來投信	T0504Y	92026219	元大寶來卓越基金	TWD	40.38	40.41	-0.03
AB1	A0005	元大寶來投信	T0518Y	98636553	元大寶來雙盈基金	TWD	23.88	23.96	-0.08
AH1	A0005	元大寶來投信	0050	98764389	元大寶來台灣卓越50基金	TWD	67.83	68.47	-0.64
AI1	A0005	元大寶來投信	T0574Y	99346928	元大寶來台灣加權股價指數基金	TWD	18.914	19.039	-0.125
AE23	A0005	元大寶來投信	T0575Y	99967974	元大寶來全球ETF穩健組合基金	TWD	14.34	14.3	0.04
AA2	A0006	景順投信	T0609Y	14687516	景順全球康健基金	TWD	18.03	18.3	-0.27
AA1	A0006	景順投信	T0606Y	17140568	景順主流基金	TWD	16.05	16.1	-0.05
AB1	A0006	景順投信	T0607Y	17606713	景順平衡基金	TWD	11.13	11.14	-0.01
AC21	A0006	景順投信	T0612A	38522556A	景順人民幣新興亞太入息基金累積型新台幣	TWD	10.0071	10.0148	-0.0077
AC21	A0006	景順投信	T0612B	38522556B	景順人民幣新興亞太入息基金月配型新台幣	TWD	9.7103	9.7177	-0.0074
AC21	A0006	景順投信	T0612C	38522556C	景順人民幣新興亞太入息基金累積型美元	USD	9.7049	9.7256	-0.0207
AC21	A0006	景順投信	T0612D	38522556D	景順人民幣新興亞太入息基金月配型美元	USD	9.4152	9.4354	-0.0202
AC21	A0006	景順投信	T0612E	38522556E	景順人民幣新興亞太入息基金累積型人民幣	CNY	9.8301	9.8106	0.0195
AC21	A0006	景順投信	T0612F	38522556F	景順人民幣新興亞太入息基金月配型人民幣	CNY	9.5471	9.5283	0.0188
AA1	A0006	景順投信	T0605Y	73989256	景順台灣科技基金	TWD	27.05	27.16	-0.11
AA1	A0006	景順投信	T0601Y	92019786	景順潛力基金	TWD	29.99	30.08	-0.09
AD1	A0006	景順投信	T0602Y	92025942	景順貨幣市場基金	TWD	15.7501	15.7498	0.0003
AA2	A0006	景順投信	T0603Y	97993482	景順全球科技基金	TWD	13.15	13.28	-0.13
AA2	A0007	瀚亞投信	T0733Y	10310200	瀚亞全球綠色金脈基金	TWD	13.52	13.59	-0.07
AA2	A0007	瀚亞投信	T0735Y	10357632A	瀚亞非洲基金-新臺幣	TWD	20.9	20.68	0.22
AA2	A0007	瀚亞投信	T0735B	10357632B	瀚亞非洲基金-南非幣	ZAR	10.71	10.66	0.05
AA2	A0007	瀚亞投信	T0718Y	14692623	瀚亞美國高科技基金	TWD	16.53	16.68	-0.15
AA1	A0007	瀚亞投信	T0715Y	17603899	瀚亞電通網基金	TWD	11.55	11.59	-0.04
AA2	A0007	瀚亞投信	T0716Y	17611814	瀚亞歐洲基金	TWD	10.19	10.2	-0.01
AB1	A0007	瀚亞投信	T0717Y	18036769	瀚亞理財通基金	TWD	21.58	21.6	-0.02
AA2	A0007	瀚亞投信	T0723Y	21704130	瀚亞印度基金	TWD	25.98	26.37	-0.39
AA2	A0007	瀚亞投信	T0736Y	25633559	瀚亞巴西基金	TWD	4.64	4.84	-0.2
AC23	A0007	瀚亞投信	T0737A	26257384A	瀚亞全球高收益債券基金A-新台幣	TWD	11.9382	11.9356	0.0026
AC23	A0007	瀚亞投信	T0737B	26257384B	瀚亞全球高收益債券基金B-新台幣	TWD	9.3876	9.3855	0.0021
AC23	A0007	瀚亞投信	T0737C	26257384C	瀚亞全球高收益債券基金C-新台幣	TWD	11.1062	11.1037	0.0025
AC23	A0007	瀚亞投信	T0737D	26257384D	瀚亞全球高收益債券基金A-美元	USD	9.6514	9.6515	-0.0001
AC23	A0007	瀚亞投信	T0737E	26257384E	瀚亞全球高收益債券基金B-美元	USD	9.2482	9.2484	-0.0002
AC23	A0007	瀚亞投信	T0737F	26257384F	瀚亞全球高收益債券基金A-澳幣	AUD	9.6163	9.6285	-0.0122
AC23	A0007	瀚亞投信	T0737G	26257384G	瀚亞全球高收益債券基金B-澳幣	AUD	8.9799	8.9913	-0.0114
AC23	A0007	瀚亞投信	T0737H	26257384H	瀚亞全球高收益債券基金A-人民幣	CNY	9.5674	9.6057	-0.0383
AC23	A0007	瀚亞投信	T0737J	26257384I	瀚亞全球高收益債券基金B-人民幣	CNY	9.3283	9.3656	-0.0373
AA2	A0007	瀚亞投信	T0739Y	26384902	瀚亞中國基金	TWD	12.7	12.73	-0.03
AC21	A0007	瀚亞投信	T0740A	31835499A	瀚亞新興亞洲當地貨幣債券基金A類型	TWD	10.5842	10.5615	0.0227
AC21	A0007	瀚亞投信	T0740B	31835499B	瀚亞新興亞洲當地貨幣債券基金B類型	TWD	9.3679	9.3478	0.0201
AC23	A0007	瀚亞投信	T0742A	31902573A	瀚亞縱橫全球高收益債券基金A類型	TWD	9.6572	9.6226	0.0346
AC23	A0007	瀚亞投信	T0742B	31902573B	瀚亞縱橫全球高收益債券基金B類型	TWD	8.5521	8.5214	0.0307
AC21	A0007	瀚亞投信	T0746A	31999540A	瀚亞新興南非蘭特債券基金A類型	ZAR	11.5136	11.5418	-0.0282
AC21	A0007	瀚亞投信	T0746B	31999540B	瀚亞新興南非蘭特債券基金B類型	ZAR	10.5182	10.5439	-0.0257
AB2	A0007	瀚亞投信	T0747A	38621330A	瀚亞亞太豐收平衡基金A-新台幣	TWD	10.1229	10.1117	0.0112
AB2	A0007	瀚亞投信	T0747B	38621330B	瀚亞亞太豐收平衡基金B-新台幣	TWD	10.1229	10.1117	0.0112
AB2	A0007	瀚亞投信	T0747C	38621330C	瀚亞亞太豐收平衡基金A-美元	USD	9.974	9.9692	0.0048
AB2	A0007	瀚亞投信	T0747D	38621330D	瀚亞亞太豐收平衡基金B-美元	USD	9.9742	9.9694	0.0048
AB2	A0007	瀚亞投信	T0747E	38621330E	瀚亞亞太豐收平衡基金A-澳幣	AUD	10.2527	10.2124	0.0403
AB2	A0007	瀚亞投信	T0747F	38621330F	瀚亞亞太豐收平衡基金B-澳幣	AUD	10.261	10.2205	0.0405
AB2	A0007	瀚亞投信	T0747G	38621330G	瀚亞亞太豐收平衡基金A-南非幣	ZAR	10.0345	10.0773	-0.0428
AB2	A0007	瀚亞投信	T0747H	38621330H	瀚亞亞太豐收平衡基金B-南非幣	ZAR	10.0348	10.0777	-0.0429
AB2	A0007	瀚亞投信	T0747J	38621330I	瀚亞亞太豐收平衡基金A-人民幣	CNY	10.0149	10.027	-0.0121
AB2	A0007	瀚亞投信	T0747K	38621330J	瀚亞亞太豐收平衡基金B-人民幣	CNY	10.0641	10.0753	-0.0112
AA2	A0007	瀚亞投信	T0727Y	48733897A	瀚亞亞太高股息基金A-新台幣	TWD	14.4	14.46	-0.06
AA2	A0007	瀚亞投信	T0727B	48733897B	瀚亞亞太高股息基金B-新台幣	TWD	10.13	10.18	-0.05
AA2	A0007	瀚亞投信	T0727C	48733897C	瀚亞亞太高股息基金A-美金	USD	9.9	9.95	-0.05
AA2	A0007	瀚亞投信	T0727D	48733897D	瀚亞亞太高股息基金B-美金	USD	9.88	9.94	-0.06
AA2	A0007	瀚亞投信	T0727E	48733897E	瀚亞亞太高股息基金A-人民幣	CNY	10.15	10.22	-0.07
AA2	A0007	瀚亞投信	T0727F	48733897F	瀚亞亞太高股息基金B-人民幣	CNY	10.05	10.13	-0.08
AE22	A0007	瀚亞投信	T0728Y	48801000A	瀚亞精選傘型基金之債券精選組合基金A類型	TWD	13.2139	13.1975	0.0164
AE22	A0007	瀚亞投信	T0728B	48801000B	瀚亞精選傘型基金之債券精選組合基金B類型	TWD	12.3962	12.3808	0.0154
AE21	A0007	瀚亞投信	T0729Y	48801016	瀚亞精選傘型基金之趨勢精選組合基金	TWD	13.35	13.33	0.02
AG	A0007	瀚亞投信	T0730A	48836541A	瀚亞亞太不動產證券化證券投資信託基金A類型	TWD	10.57	10.6	-0.03
AG	A0007	瀚亞投信	T0730B	48836541B	瀚亞亞太不動產證券化證券投資信託基金B類型	TWD	9.99	10.01	-0.02
AA2	A0007	瀚亞投信	T0732Y	48885958	瀚亞亞太基礎建設基金	TWD	11.64	11.64	0
AA1	A0007	瀚亞投信	T0711Y	81595924	瀚亞中小型股基金	TWD	15.02	15.1	-0.08
AD1	A0007	瀚亞投信	T0712Y	83867345	瀚亞威寶貨幣市場基金	TWD	13.3695	13.3693	0.0002
AA1	A0007	瀚亞投信	T0704Y	92003102	瀚亞高科技基金	TWD	47.07	47.24	-0.17
AA1	A0007	瀚亞投信	T0705Y	92012572	瀚亞外銷基金	TWD	31.35	31.47	-0.12
AA1	A0007	瀚亞投信	T0708Y	97990696	瀚亞菁華基金	TWD	17.27	17.38	-0.11
AE23	A0007	瀚亞投信	T0722Y	99967806A	瀚亞股債入息組合基金A類型	TWD	13.3009	13.2865	0.0144
AE23	A0007	瀚亞投信	T0722B	99967806B	瀚亞股債入息組合基金B類型	TWD	12.9467	12.9327	0.014
AA1	A0008	保德信投信	T0802Y	01032183	保德信高成長基金	TWD	74.57	75.15	-0.58
AA2	A0008	保德信投信	T0828Y	10307155	保德信全球消費商機基金	TWD	15.98	16.12	-0.14
AA1	A0008	保德信投信	T0815Y	13528977	保德信台商全方位基金	TWD	26.94	26.98	-0.04
AA2	A0008	保德信投信	T0816Y	14692638	保德信全球醫療生化基金	TWD	33.72	34.09	-0.37
AA1	A0008	保德信投信	T0812Y	17602625	保德信新世紀基金	TWD	9.07	9.08	-0.01
AB1	A0008	保德信投信	T0814Y	18044064	保德信金平衡基金	TWD	23.56	23.64	-0.08
AC12	A0008	保德信投信	T0811Y	20089122	保德信瑞騰基金	TWD	15.2427	15.2421	0.0006
AA1	A0008	保德信投信	T0807Y	20097447	保德信第一基金	TWD	22.32	22.55	-0.23
AA2	A0008	保德信投信	T0829Y	25618488	保德信全球優質股息成長基金	TWD	12.75	12.89	-0.14
AA2	A0008	保德信投信	T0830Y	25674811	保德信拉丁美洲基金	TWD	6.81	7.03	-0.22
AC21	A0008	保德信投信	T0831A	26263055A	保德信新興市場債券基金-累積型(A)	TWD	9.5964	9.6204	-0.024
AC21	A0008	保德信投信	T0831B	26263055B	保德信新興市場債券基金-月配息型(B)	TWD	7.7521	7.7713	-0.0192
AA2	A0008	保德信投信	T0832Y	26290779	保德信中國品牌基金	TWD	9.94	10.08	-0.14
AC21	A0008	保德信投信	T0840A	26320990A	保德信亞洲新興市場債券基金-累積型(A)	TWD	11.1388	11.1114	0.0274
AC21	A0008	保德信投信	T0840B	26320990B	保德信亞洲新興市場債券基金-月配息型(B)	TWD	9.7541	9.7302	0.0239
