基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
貝萊德環球資產配置基金A2歐元,BlackRockGlobalFund-GlobalAllocationFundA2EUR,平衡型(混合型)-平衡型(混合型),全球-已開發市場,2093.076348,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金HedgedA2澳幣,BlackRockGlobalFund-EuropeanSpecialSituationsFundA2AUDHedged,股票型-一般型,區域-已開發歐洲,1.890383,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金HedgedA2紐西蘭幣,BlackRockGlobalFund-EuropeanSpecialSituationsFundA2NZDHedged,股票型-一般型,區域-已開發歐洲,0.000000,紐西蘭幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金HedgedA2美元,BlackRockGlobalFund-EuropeanSpecialSituationsFundA2USDHedged,股票型-一般型,區域-已開發歐洲,56.259748,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金A2歐元,BlackRockGlobalFund-EuropeanSpecialSituationsFundA2EUR,股票型-一般型,區域-已開發歐洲,560.364975,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金C2歐元,BlackRockGlobalFund-EuropeanSpecialSituationsFundC2EUR,股票型-一般型,區域-已開發歐洲,6.072702,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲特別時機基金A2美元,BlackRockGlobalFund-EuropeanSpecialSituationsFundA2USD,股票型-一般型,區域-已開發歐洲,442.303155,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美國增長型基金A2歐元,BlackRockGlobalFund-USGrowthFundA2EUR,股票型-一般型,區域-北美,8.386765,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美國增長型基金A2美元,BlackRockGlobalFund-USGrowthFundA2USD,股票型-一般型,區域-北美,87.067973,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金A8多幣別穩定月配息股份-澳幣避險,BlackRockGlobalFund-GlobalHighYieldBondFundA8AUDHedged,固定收益型-高收益債券,全球-已開發市場,120.252421,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金A8多幣別穩定月配息股份-南非幣避險,BlackRockGlobalFund-GlobalHighYieldBondFundA8ZARHedged,固定收益型-高收益債券,全球-已開發市場,156.691994,南非幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美元高收益債券基金A8多幣別穩定月配息股份-澳幣避險,BlackRockGlobalFund-USDollarHighYieldBondFundA8AUDHedged,固定收益型-高收益債券,區域-北美,205.211381,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美元高收益債券基金HedgedA3澳幣,BlackRockGlobalFund-USDollarHighYieldBondFundHedgedA3AUD,固定收益型-高收益債券,區域-北美,27.623701,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美元高收益債券基金A8多幣別穩定月配息股份-南非幣避險,BlackRockGlobalFund-USDollarHighYieldBondFundA8ZARHedged,固定收益型-高收益債券,區域-北美,68.580461,南非幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德美元高收益債券基金HedgedA2澳幣,BlackRockGlobalFund-USDollarHighYieldBondFundHedgedA2AUD,固定收益型-高收益債券,區域-北美,6.778539,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐元優質債券基金A3歐元,BlackRockGlobalFund-EuroBondFundA3EUR,固定收益型-政府債,區域-已開發歐洲,13.302391,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐元優質債券基金A3美元,BlackRockGlobalFund-EuroBondFundA3USD,固定收益型-政府債,區域-已開發歐洲,0.793647,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金A3美元,BlackRockGlobalFund-GlobalHighYieldBondFundA3USD,固定收益型-高收益債券,全球-已開發市場,133.142353,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金HedgedA3歐元,BlackRockGlobalFund-GlobalHighYieldBondFundHedgedA3EUR,固定收益型-高收益債券,全球-已開發市場,16.715905,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德日本特別時機基金HedgedA2美元,BlackRockGlobalFund-JapanSmall&MidCapOpportunitiesFundHedgedA2USD,股票型-中小型,單一國家-日本,45.027755,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球政府債券基金A3美元,BlackRockGlobalFund-GlobalGovernmentBondFundA3USD,固定收益型-政府債,全球-已開發市場,13.253986,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球政府債券基金C3美元,BlackRockGlobalFund-GlobalGovernmentBondFundC3USD,固定收益型-政府債,全球-已開發市場,0.052408,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德世界債券基金A3美元,BlackRockGlobalFund-WorldBondFundA3USD,固定收益型-政府債,全球-已開發市場,20.568352,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德拉丁美洲基金HedgedA2澳幣,BlackRockGlobalFund-LatinAmericanFundA2AUDHedged,股票型-一般型,區域-新興拉丁美洲,0.804381,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德拉丁美洲基金D2歐元,BlackRockGlobalFund-LatinAmericanFundD2EUR,股票型-一般型,區域-新興拉丁美洲,75.787804,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
