類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AC23	A0005	元大寶來投信	26394367	元大寶來中國高收益點心債券基金	TWD	10.624	10.6392	-0.0152
AB2	A0005	元大寶來投信	31830473	元大寶來中國平衡基金	TWD	10.25	10.27	-0.02
AH2	A0005	元大寶來投信	31830488	元大寶來上證50基金	TWD	17.86	17.78	0.08
AI2	A0005	元大寶來投信	31931789A	元大寶來亞太政府公債指數基金(A)-不配息型	TWD	9.1303	9.1709	-0.0406
AI2	A0005	元大寶來投信	31931789B	元大寶來亞太政府公債指數基金(B)-配息型	TWD	9.1303	9.1709	-0.0406
AA2	A0005	元大寶來投信	48708243	元大寶來亞太成長基金	TWD	10.85	10.79	0.06
AA2	A0005	元大寶來投信	48753324	元大寶來泛歐成長基金	TWD	8.53	8.66	-0.13
AE21	A0005	元大寶來投信	48760113	元大寶來全球新興市場精選組合基金	TWD	11.77	11.81	-0.04
AH1	A0005	元大寶來投信	48772770	元大寶來台灣中型100基金	TWD	27.6	27.23	0.37
AE21	A0005	元大寶來投信	48789815	元大寶來全球ETF成長組合基金	TWD	8.62	8.6	0.02
AA2	A0005	元大寶來投信	48832550	元大寶來亞洲台資企業基金	TWD	7.64	7.53	0.11
AC22	A0005	元大寶來投信	48849362A	元大寶來全球滿意入息基金-不配息型	TWD	10.77	10.87	-0.1
AC22	A0005	元大寶來投信	48849362B	元大寶來全球滿意入息基金-配息型	TWD	8.43	8.5	-0.07
AG	A0005	元大寶來投信	48885346A	元大寶來全球地產建設入息基金-不配息型	TWD	7.8	7.78	0.02
AG	A0005	元大寶來投信	48885346B	元大寶來全球地產建設入息基金-配息型	TWD	6.72	6.7	0.02
AH1	A0005	元大寶來投信	48903175	元大寶來台灣金融基金	TWD	12.37	12.26	0.11
AH1	A0005	元大寶來投信	48903180	元大寶來台商收成基金	TWD	19.58	19.26	0.32
AH1	A0005	元大寶來投信	48903196	元大寶來台灣電子科技基金	TWD	24.11	23.72	0.39
AA2	A0005	元大寶來投信	48952816A	元大寶來全球公用能源效率基金-不配息型	TWD	6.86	6.88	-0.02
AA2	A0005	元大寶來投信	48952816B	元大寶來全球公用能源效率基金-配息型	TWD	5.75	5.76	-0.01
AH1	A0005	元大寶來投信	48966213	元大寶來台灣高股息基金	TWD	23.79	23.47	0.32
AA1	A0005	元大寶來投信	77537509	元大寶來多元基金	TWD	10.7	10.53	0.17
AA1	A0005	元大寶來投信	81584335	元大寶來高科技基金	TWD	11.08	10.98	0.1
AA1	A0005	元大寶來投信	83863951	元大寶來經貿基金	TWD	22.78	22.65	0.13
AA1	A0005	元大寶來投信	92001765	元大寶來多多基金	TWD	14.36	14.27	0.09
AA1	A0005	元大寶來投信	92004566	元大寶來績效基金	TWD	26.56	26.19	0.37
AD1	A0005	元大寶來投信	92017204	元大寶來得利貨幣市場基金	TWD	15.8844	15.8842	0.0002
AA1	A0005	元大寶來投信	92026219	元大寶來卓越基金	TWD	33.29	32.92	0.37
AB1	A0005	元大寶來投信	98636553	元大寶來雙盈基金	TWD	19.14	18.93	0.21
AH1	A0005	元大寶來投信	98764389	元大寶來台灣卓越50基金	TWD	55.82	54.89	0.93
AI1	A0005	元大寶來投信	99346928	元大寶來台灣加權股價指數基金	TWD	15.431	15.225	0.206
AE23	A0005	元大寶來投信	99967974	元大寶來全球ETF穩健組合基金	TWD	12.96	13.01	-0.05
AA2	A0006	景順投信	14687516	景順全球康健基金	TWD	14.81	14.74	0.07
AA1	A0006	景順投信	15588302	景順台灣精選成長基金	TWD	22.66	22.36	0.3
AA1	A0006	景順投信	17140568	景順主流基金	TWD	13.86	13.59	0.27
AB1	A0006	景順投信	17606713	景順平衡基金	TWD	10	9.87	0.13
AA1	A0006	景順投信	73989256	景順台灣科技基金	TWD	22.53	22.23	0.3
AA1	A0006	景順投信	92019786	景順潛力基金	TWD	25.66	25.24	0.42
AD1	A0006	景順投信	92025942	景順貨幣市場基金	TWD	15.6246	15.6244	0.0002
AA2	A0006	景順投信	97993482	景順全球科技基金	TWD	10.42	10.32	0.1
AA2	A0007	瀚亞投信	10310200	瀚亞全球綠色金脈基金	TWD	11.23	11.21	0.02
AA2	A0007	瀚亞投信	10357632	瀚亞非洲基金	TWD	17.78	17.97	-0.19
AA2	A0007	瀚亞投信	14692623	瀚亞美國高科技基金	TWD	12.84	12.75	0.09
AA1	A0007	瀚亞投信	17603899	瀚亞電通網基金	TWD	8.98	8.93	0.05
AA2	A0007	瀚亞投信	17611814	瀚亞歐洲基金	TWD	8.48	8.65	-0.17
AB1	A0007	瀚亞投信	18036769	瀚亞理財通基金	TWD	17.95	17.8	0.15
AA2	A0007	瀚亞投信	21704130	瀚亞印度基金	TWD	15.49	15.46	0.03
AA2	A0007	瀚亞投信	25633559	瀚亞巴西基金	TWD	5.53	5.55	-0.02
AC23	A0007	瀚亞投信	26257384A	瀚亞全球高收益債券證券投資信託基金A類型	TWD	11.7653	11.8034	-0.0381
AC23	A0007	瀚亞投信	26257384B	瀚亞全球高收益債券證券投資信託基金B類型	TWD	10.0325	10.065	-0.0325
AA2	A0007	瀚亞投信	26384902	瀚亞中國基金	TWD	10.4	10.22	0.18
AC21	A0007	瀚亞投信	31835499A	瀚亞新興亞洲當地貨幣債券基金A類型	TWD	9.8149	9.8742	-0.0593
AC21	A0007	瀚亞投信	31835499B	瀚亞新興亞洲當地貨幣債券基金B類型	TWD	9.3431	9.4371	-0.094
AC23	A0007	瀚亞投信	31902573A	瀚亞縱橫全球高收益債券基金A類型	TWD	9.7418	9.8167	-0.0749
AC23	A0007	瀚亞投信	31902573B	瀚亞縱橫全球高收益債券基金B類型	TWD	9.5128	9.586	-0.0732
AA2	A0007	瀚亞投信	48733897	瀚亞亞太高股息基金	TWD	12.21	12.08	0.13
AE22	A0007	瀚亞投信	48801000A	瀚亞精選傘型基金之債券精選組合基金A類型	TWD	12.3741	12.3981	-0.024
AE22	A0007	瀚亞投信	48801000B	瀚亞精選傘型基金之債券精選組合基金B類型	TWD	12.2944	12.3621	-0.0677
AE21	A0007	瀚亞投信	48801016	瀚亞精選傘型基金之趨勢精選組合基金	TWD	11.82	11.85	-0.03
AG	A0007	瀚亞投信	48836541A	瀚亞亞太不動產證券化證券投資信託基金A類型	TWD	9.06	8.98	0.08
AG	A0007	瀚亞投信	48836541B	瀚亞亞太不動產證券化證券投資信託基金B類型	TWD	8.88	8.8	0.08
AA2	A0007	瀚亞投信	48885958	瀚亞亞太基礎建設基金	TWD	10.16	10.07	0.09
AA1	A0007	瀚亞投信	81595924	瀚亞中小型股基金	TWD	12.16	12.03	0.13
AD1	A0007	瀚亞投信	83867345	瀚亞威寶貨幣市場基金	TWD	13.2502	13.25	0.0002
AA1	A0007	瀚亞投信	92003102	瀚亞高科技基金	TWD	37.81	37.64	0.17
AA1	A0007	瀚亞投信	92012572	瀚亞外銷基金	TWD	26.2	25.89	0.31
AA1	A0007	瀚亞投信	97978102	瀚亞掌櫃基金	TWD	11.43	11.32	0.11
AA1	A0007	瀚亞投信	97990696	瀚亞菁華基金	TWD	15.22	15.06	0.16
AE23	A0007	瀚亞投信	99967806	瀚亞質量精選組合基金	TWD	11.3522	11.4061	-0.0539
AA1	A0008	保德信投信	01032183	保德信高成長基金	TWD	65.65	64.81	0.84
AA2	A0008	保德信投信	10307155	保德信全球消費商機基金	TWD	13.68	13.67	0.01
AA1	A0008	保德信投信	13528977	保德信台商全方位基金	TWD	24.49	24.13	0.36
AA2	A0008	保德信投信	14692638	保德信全球醫療生化基金	TWD	23.56	23.46	0.1
AA1	A0008	保德信投信	17602625	保德信新世紀基金	TWD	8.22	8.1	0.12
AB1	A0008	保德信投信	18044064	保德信金平衡基金	TWD	21.51	21.28	0.23
AC12	A0008	保德信投信	20089122	保德信瑞騰基金	TWD	15.0898	15.094	-0.0042
AA1	A0008	保德信投信	20097447	保德信第一基金	TWD	19.12	18.86	0.26
AA2	A0008	保德信投信	25618488	保德信全球優質股息成長基金	TWD	10.96	10.98	-0.02
AA2	A0008	保德信投信	25674811	保德信拉丁美洲基金	TWD	7.7	7.82	-0.12
AC21	A0008	保德信投信	26263055A	保德信新興市場債券基金-累積型(A)	TWD	9.9713	10.0347	-0.0634
AC21	A0008	保德信投信	26263055B	保德信新興市場債券基金-月配息型(B)	TWD	8.8604	8.9168	-0.0564
AA2	A0008	保德信投信	26290779	保德信中國品牌基金	TWD	8.19	8.18	0.01
AC21	A0008	保德信投信	26320990A	保德信亞洲新興市場債券基金-累積型(A)	TWD	10.1358	10.1764	-0.0406
AC21	A0008	保德信投信	26320990B	保德信亞洲新興市場債券基金-月配息型(B)	TWD	9.4683	9.5062	-0.0379
AA2	A0008	保德信投信	26385819	保德信新興中小基金	TWD	10.85	10.84	0.01
AA2	A0008	保德信投信	31814924	保德信大俄羅斯基金	TWD	9.96	10.12	-0.16
AE22	A0008	保德信投信	31832319A	保德信好時債組合基金-累積型(A)	TWD	10.1516	10.1881	-0.0365
AE22	A0008	保德信投信	31832319B	保德信好時債組合基金-月配息型(B)	TWD	10.0757	10.1118	-0.0361
AC21	A0008	保德信投信	31968075A	保德信新興市場企業債券基金-累積型(A)	TWD	9.8756	9.8974	-0.0218
AC21	A0008	保德信投信	31968075B	保德信新興市場企業債券基金-月配息型(B)	TWD	9.8756	9.8974	-0.0218
